journal,因果解释型,实证解释型,探索/理论生成型,理论构建型,规范型/处方型,解析型/机制解释,设计构建型,证据综合型,预测型/计算型,total
Management Science,1,5,0,2,1,0,0,0,1,10
Operations Research,0,0,0,0,10,0,0,0,0,10
Manufacturing & Service Operations Management,0,0,0,0,1,4,0,3,2,10
Production and Operations Management,0,2,0,1,0,4,0,3,0,10
Journal of Operations Management,2,6,2,0,0,0,0,0,0,10
Information Systems Research,3,4,0,2,0,0,0,0,1,10
MIS Quarterly,0,3,1,2,1,0,1,1,1,10
INFORMS Journal on Computing,0,1,0,0,7,1,0,0,1,10
Transportation Science,0,0,0,0,8,0,0,1,1,10
Decision Sciences,1,4,1,1,0,1,0,2,0,10
